Player,Maps,Rounds,K-D Diff,K/D,Rating1.0
hampus,1220,32175,-917,0.96,0.97
Djoko,719,18385,-600,0.95,0.97
STYKO,1614,42389,-610,0.98,0.97
b0RUP,1063,28725,-659,0.97,0.97
AZR,964,25481,-627,0.96,0.97
JUST,687,17719,-326,0.97,0.97
NBK-,1356,36078,-1044,0.96,0.96
chrisJ,1154,30522,-593,0.97,0.96
RpK,1171,30722,-819,0.96,0.96
freddieb,853,22821,-552,0.97,0.96
pashaBiceps,750,19662,-521,0.96,0.96
nitr0,1325,34994,-573,0.98,0.96
kioShiMa,804,21305,-166,0.99,0.96
Furlan,1438,38224,-1303,0.95,0.96
xseveN,893,23863,-493,0.97,0.96
bodyy,1297,33759,-901,0.96,0.96
apEX,1676,43915,-1334,0.96,0.96
mopoz,967,25626,-957,0.95,0.96
gade,777,20590,-610,0.96,0.96
v1c7oR,1092,28766,-895,0.96,0.96
Edward,763,20137,-364,0.97,0.96
gla1ve,1573,41255,-803,0.97,0.96
RUSH,1236,32353,-860,0.96,0.96
Jerry,1320,35699,-898,0.96,0.96
VINI,895,23272,-703,0.95,0.95
facecrack,789,21350,-1027,0.93,0.95
ANGE1,902,23617,-1290,0.93,0.95
AdreN,1024,27424,-1000,0.95,0.95
LUCAS1,726,19015,-596,0.95,0.95
bubble,1382,36559,-1018,0.96,0.95
Spiidi,1494,40037,-1062,0.96,0.95
RuStY,793,21680,-734,0.95,0.95
JACKZ,915,24673,-914,0.95,0.95
MUTiRiS,812,20891,-631,0.95,0.94
chopper,1148,29961,-1004,0.95,0.94
k1to,1236,32950,-1652,0.93,0.94
arT,911,23670,-1331,0.92,0.94
stanislaw,1186,30906,-1124,0.95,0.94
roman,795,20421,-873,0.94,0.94
Lack1,1015,26255,-1414,0.92,0.94
ZEDKO,766,20203,-897,0.93,0.94
phr,819,21964,-832,0.94,0.94
NickelBack,948,25523,-1114,0.94,0.93
SPELLAN,754,19812,-935,0.93,0.93
Boombl4,1018,26502,-1401,0.92,0.93
tiziaN,1194,32089,-1483,0.93,0.92
Snappi,1642,42898,-2196,0.92,0.92
NEKIZ,729,19146,-1266,0.91,0.92
MAJ3R,953,24669,-1118,0.93,0.92
steel,928,24596,-1316,0.92,0.92
denis,1278,34257,-2298,0.91,0.92
interz,751,20013,-473,0.96,0.92
Surreal,1195,31610,-1910,0.91,0.92
Keoz,742,19489,-1440,0.9,0.92
nafany,1036,26720,-1874,0.9,0.91
Aleksib,1103,29058,-1627,0.92,0.91
seized,755,19346,-1207,0.91,0.91
TACO,1281,33535,-1835,0.92,0.91
AcilioN,1066,28465,-1969,0.9,0.91
TaZ,952,25406,-1750,0.9,0.9
Xizt,846,22353,-1426,0.91,0.9
NEO,827,21766,-1690,0.89,0.9
MSL,1078,28558,-2765,0.87,0.89
S0tF1k,783,20761,-1810,0.87,0.89
beastik,698,17991,-1579,0.87,0.89
neaLaN,714,19061,-1676,0.87,0.89
friberg,1090,29135,-2745,0.87,0.89
Golden,758,20240,-1980,0.86,0.88
Zeus,767,20425,-1798,0.87,0.88
karrigan,1844,48078,-5011,0.85,0.87
JT,869,22516,-2702,0.83,0.85
MiGHTYMAX,743,19936,-2226,0.83,0.85
gob b,677,17904,-2059,0.83,0.85
daps,817,21446,-2339,0.84,0.85
kRYSTAL,854,22632,-2744,0.82,0.84
HooXi,705,18288,-2755,0.78,0.81
HUNDEN,756,20144,-3703,0.74,0.77
