Player,Maps,Rounds,K-D Diff,K/D,Rating1.0,deaths,kills,abates_por_rounds,mortes_por_rounds,classificacao,dano_por_round,rounds_vivo_vitoria,clutchs_ganhos,grau_consistencia
GruBy,1017,26973,227,1.01,1.0,22699.999999999978,22926.999999999978,0.8499981462944418,0.8415823230638038,1.0,75.0,31.767572097023873,3.0,5.2237792949205595
aizy,1122,29819,317,1.02,1.0,15849.999999999985,16166.999999999985,0.5421710989637475,0.5315402931017131,1.0,75.0,69.40385774062705,3.0,5.500000000000001
JW,1354,35632,265,1.01,1.0,26499.999999999978,26764.999999999978,0.7511506511001341,0.7437135159407269,1.0,75.0,43.6479561240966,3.0,6.522307353742355
Qikert,1232,32533,752,1.04,1.0,18799.99999999998,19551.99999999998,0.6009897642393871,0.577874773307103,1.0,75.0,63.77927280170391,3.0,5.499999999999998
Xyp9x,1514,40051,1282,1.05,1.0,25639.999999999978,26921.999999999978,0.6721929539836703,0.6401837656987336,1.0,75.0,56.21552721500639,3.0,5.499999999999999
sjuush,917,23825,479,1.03,1.0,15966.666666666653,16445.666666666653,0.6902693249387892,0.6701643931444555,1.0,75.0,52.5761514230868,3.0,5.499999999999997
floppy,753,19460,136,1.01,1.0,13599.999999999987,13735.999999999987,0.7058581706063713,0.6988694758478925,1.0,75.0,49.091615174301744,3.0,5.628478037151266
buster,1090,29108,846,1.05,1.0,16919.999999999985,17765.999999999985,0.6103476707434378,0.5812834959461312,1.0,75.0,63.3654848422522,3.0,5.5
Lekr0,1146,30656,349,1.02,1.0,17449.999999999985,17798.999999999985,0.5806041231732771,0.5692197286012521,1.0,75.0,64.82991659618361,3.0,5.5
nexa,1230,32248,625,1.03,1.0,20833.333333333314,21458.333333333314,0.6654159431075823,0.6460348962209537,1.0,75.0,55.50525312829883,3.0,5.499999999999996
AMANEK,885,23941,545,1.04,1.0,13624.999999999987,14169.999999999987,0.5918716845578709,0.5691073889979528,1.0,75.0,64.84355360339642,3.0,5.499999999999998
disco doplan,736,19557,264,1.02,1.0,13199.999999999989,13463.999999999989,0.6884491486424292,0.6749501457278718,1.0,75.0,51.99520453897857,3.0,5.4999999999999964
flamie,1178,31401,402,1.02,1.0,20099.99999999998,20501.99999999998,0.6529091430209223,0.6401070029616885,1.0,75.0,56.22484551387885,3.0,5.4999999999999964
tarik,1152,30079,82,1.0,1.0,21055.3,21055.3,0.7,0.7,1.0,75.0,48.95437981327372,3.0,5.500000000000006
Maden,834,21574,-63,1.0,1.0,15101.8,15101.8,0.7,0.7,1.0,75.0,48.95437981327372,3.0,5.500000000000006
Snax,1412,36961,387,1.02,1.0,19349.99999999998,19736.99999999998,0.5339952923351636,0.5235247964070231,1.0,75.0,70.3768662169733,3.0,5.5
n0rb3r7,940,24296,-80,1.0,0.99,17007.2,17007.2,0.7000000000000001,0.7000000000000001,0.99,74.25,48.59020706887317,3.0,5.500000000000003
refrezh,971,25541,241,1.01,0.99,24099.999999999978,24340.999999999978,0.9530167182177667,0.9435809091265016,0.99,74.25,19.317382776014746,3.0,3.434097576288982
